Student,LPIPS,SSIM
113590006.png,0.0,1.0
113590002.png,0.36181098222732544,0.5796881067477428
111590047.png,0.3622778654098511,0.5807422316608722
113590031.png,0.3665090799331665,0.5574313323352728
113590062.png,0.3722043037414551,0.49579730542278533
113590045.png,0.3724954426288605,0.53659247925177
113370239.png,0.3745473325252533,0.5727470484342694
113590044.png,0.3774518072605133,0.5210046216634026
113590018.png,0.3779352307319641,0.5291764019715812
113590026.png,0.37846627831459045,0.5721311454785727
113590003.png,0.380447119474411,0.5678345864519438
113590015.png,0.38070937991142273,0.545241999376465
113590051.png,0.3817536532878876,0.5664825934490109
113590052.png,0.3837876319885254,0.535869722994101
114054809.png,0.38853538036346436,0.5774462939618655
113590011.png,0.3910319209098816,0.5149042152738532
112590454.png,0.3923681676387787,0.5465185743727111
113590061.png,0.39306384325027466,0.5459530822459857
113590039.png,0.39681050181388855,0.5514898431856677
113590056.png,0.39704322814941406,0.573942904257999
113590059.png,0.39713409543037415,0.47064985230314366
113590001.png,0.3988107144832611,0.5435082355823209
110590455.png,0.40182995796203613,0.5817758444498041
113590057.png,0.4019329845905304,0.534534049935744
113590021.png,0.4038704037666321,0.5182857378205896
111590028.png,0.40559083223342896,0.5823502389366589
112590040.png,0.4078637361526489,0.5329133831527894
113590028.png,0.4088532030582428,0.4978084972994191
113590022.png,0.4092133343219757,0.5214553610236375
112590455.png,0.4136076867580414,0.5509419727428166
113590060.png,0.415772944688797,0.588433215199697
113AC1012.png,0.41690805554389954,0.5389136843294381
113590042.png,0.41742467880249023,0.5154077248982689
113590010.png,0.4221448302268982,0.5205461864481798
113590023.png,0.42362624406814575,0.44717277501780267
113590050.png,0.4273514449596405,0.45484628818557626
113590049.png,0.42865198850631714,0.42912187887374925
111590062.png,0.43245989084243774,0.5472274048877951
113590008.png,0.4409620761871338,0.45347981852376157
112590058.jpg,0.4510178565979004,0.394675424732418
113590047.png,0.45145300030708313,0.6047757232366611
113590004.png,0.4730300307273865,0.5960310593564956
111590455.png,0.485379695892334,0.45815527638157805
113590043.png,0.48548486828804016,0.604726357759548
113590025.png,0.4899909198284149,0.6088259506076757
111590042.png,0.5033443570137024,0.628344229412001
